model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das,1,1,0,64,0.001,128,41,0.18118467926979065,0.1753775030374527
gpt2-small,das,1,1,0,64,0.001,128,42,0.1753775030374527,0.1631823629140854
gpt2-small,das,1,1,0,64,0.001,128,43,0.1631823629140854,0.17479676008224487
gpt2-small,das,1,1,0,64,0.001,128,44,0.17479676008224487,0.16550524532794952
gpt2-small,das,1,1,0,64,0.001,128,45,0.16550524532794952,0.16898958384990692
gpt2-small,das,1,1,0,64,0.001,128,46,0.16898958384990692,0.15853658318519592
gpt2-small,das,1,1,0,64,0.001,128,47,0.15853658318519592,0.16260161995887756
gpt2-small,das,1,1,0,64,0.001,128,48,0.16260161995887756,0.15389086306095123
gpt2-small,das,1,1,0,64,0.001,128,49,0.15389086306095123,0.16085949540138245
gpt2-small,das,1,1,0,64,0.001,128,50,0.16085949540138245,0.1550522744655609
gpt2-small,das,1,1,0,64,0.001,128,51,0.1550522744655609,0.1550522744655609
gpt2-small,das,1,1,0,64,0.001,128,52,0.1550522744655609,0.15563298761844635
gpt2-small,das,1,1,0,64,0.001,128,53,0.15563298761844635,0.15331010520458221
gpt2-small,das,1,1,0,64,0.001,128,54,0.15331010520458221,0.15098726749420166
gpt2-small,das,1,1,0,64,0.001,128,55,0.15098726749420166,0.149825781583786
gpt2-small,das,1,1,0,64,0.001,128,56,0.149825781583786,0.14750292897224426
gpt2-small,das,1,1,0,64,0.001,128,57,0.14750292897224426,0.15272940695285797
gpt2-small,das,1,1,0,64,0.001,128,58,0.15272940695285797,0.146341472864151
gpt2-small,das,1,1,0,64,0.001,128,59,0.146341472864151,0.15331010520458221
gpt2-small,das,1,1,0,64,0.001,128,60,0.15331010520458221,0.15272940695285797
gpt2-small,das,1,1,0,64,0.001,128,61,0.15272940695285797,0.1480836421251297
gpt2-small,das,1,1,0,64,0.001,128,62,0.1480836421251297,0.14866435527801514
gpt2-small,das,1,1,0,64,0.001,128,63,0.14866435527801514,0.15214864909648895
gpt2-small,das2d,1,2,0,64,0.001,128,0,0.9988385438919067,0.9947735667228699
gpt2-small,das2d,1,2,0,64,0.001,128,1,0.9947735667228699,0.9663182497024536
gpt2-small,das2d,1,2,0,64,0.001,128,2,0.9663182497024536,0.924506425857544
gpt2-small,das2d,1,2,0,64,0.001,128,3,0.924506425857544,0.8745644688606262
gpt2-small,das2d,1,2,0,64,0.001,128,4,0.8745644688606262,0.8124274611473083
gpt2-small,das2d,1,2,0,64,0.001,128,5,0.8124274611473083,0.7409988641738892
gpt2-small,das2d,1,2,0,64,0.001,128,6,0.7409988641738892,0.6788617968559265
gpt2-small,das2d,1,2,0,64,0.001,128,7,0.6788617968559265,0.6347270011901855
gpt2-small,das2d,1,2,0,64,0.001,128,8,0.6347270011901855,0.608013927936554
gpt2-small,das2d,1,2,0,64,0.001,128,9,0.608013927936554,0.5789779424667358
gpt2-small,das2d,1,2,0,64,0.001,128,10,0.5789779424667358,0.553426206111908
gpt2-small,das2d,1,2,0,64,0.001,128,11,0.553426206111908,0.5284552574157715
gpt2-small,das2d,1,2,0,64,0.001,128,12,0.5284552574157715,0.4936120808124542
gpt2-small,das2d,1,2,0,64,0.001,128,13,0.4936120808124542,0.4523809552192688
gpt2-small,das2d,1,2,0,64,0.001,128,14,0.4523809552192688,0.4303135871887207
gpt2-small,das2d,1,2,0,64,0.001,128,15,0.4303135871887207,0.3960511088371277
gpt2-small,das2d,1,2,0,64,0.001,128,16,0.3960511088371277,0.3722415864467621
gpt2-small,das2d,1,2,0,64,0.001,128,17,0.3722415864467621,0.3385598063468933
gpt2-small,das2d,1,2,0,64,0.001,128,18,0.3385598063468933,0.31591174006462097
gpt2-small,das2d,1,2,0,64,0.001,128,19,0.31591174006462097,0.29326367378234863
gpt2-small,das2d,1,2,0,64,0.001,128,20,0.29326367378234863,0.27003487944602966
gpt2-small,das2d,1,2,0,64,0.001,128,21,0.27003487944602966,0.24041813611984253
gpt2-small,das2d,1,2,0,64,0.001,128,22,0.24041813611984253,0.2247386872768402
gpt2-small,das2d,1,2,0,64,0.001,128,23,0.2247386872768402,0.2055749148130417
gpt2-small,das2d,1,2,0,64,0.001,128,24,0.2055749148130417,0.190476194024086
gpt2-small,das2d,1,2,0,64,0.001,128,25,0.190476194024086,0.1753774732351303
gpt2-small,das2d,1,2,0,64,0.001,128,26,0.1753774732351303,0.16085949540138245
gpt2-small,das2d,1,2,0,64,0.001,128,27,0.16085949540138245,0.14866435527801514
gpt2-small,das2d,1,2,0,64,0.001,128,28,0.14866435527801514,0.1411150097846985
gpt2-small,das2d,1,2,0,64,0.001,128,29,0.1411150097846985,0.13588851690292358
gpt2-small,das2d,1,2,0,64,0.001,128,30,0.13588851690292358,0.12891986966133118
gpt2-small,das2d,1,2,0,64,0.001,128,31,0.12891986966133118,0.12485486268997192
gpt2-small,das2d,1,2,0,64,0.001,128,32,0.12485486268997192,0.10917539894580841
gpt2-small,das2d,1,2,0,64,0.001,128,33,0.10917539894580841,0.11324044317007065
gpt2-small,das2d,1,2,0,64,0.001,128,34,0.11324044317007065,0.1039489284157753
gpt2-small,das2d,1,2,0,64,0.001,128,35,0.1039489284157753,0.10452960431575775
gpt2-small,das2d,1,2,0,64,0.001,128,36,0.10452960431575775,0.09756097197532654
gpt2-small,das2d,1,2,0,64,0.001,128,37,0.09756097197532654,0.09756097197532654
gpt2-small,das2d,1,2,0,64,0.001,128,38,0.09756097197532654,0.09291521459817886
gpt2-small,das2d,1,2,0,64,0.001,128,39,0.09291521459817886,0.09639955312013626
gpt2-small,das2d,1,2,0,64,0.001,128,40,0.09639955312013626,0.09581883996725082
gpt2-small,das2d,1,2,0,64,0.001,128,41,0.09581883996725082,0.0969802662730217
gpt2-small,das2d,1,2,0,64,0.001,128,42,0.0969802662730217,0.09001166373491287
gpt2-small,das2d,1,2,0,64,0.001,128,43,0.09001166373491287,0.08652732521295547
gpt2-small,das2d,1,2,0,64,0.001,128,44,0.08652732521295547,0.08826946467161179
gpt2-small,das2d,1,2,0,64,0.001,128,45,0.08826946467161179,0.08768875151872635
gpt2-small,das2d,1,2,0,64,0.001,128,46,0.08768875151872635,0.08710800856351852
gpt2-small,das2d,1,2,0,64,0.001,128,47,0.08710800856351852,0.09233450889587402
gpt2-small,das2d,1,2,0,64,0.001,128,48,0.09233450889587402,0.08536587655544281
gpt2-small,das2d,1,2,0,64,0.001,128,49,0.08536587655544281,0.08652729541063309
gpt2-small,das2d,1,2,0,64,0.001,128,50,0.08652729541063309,0.08536587655544281
gpt2-small,das2d,1,2,0,64,0.001,128,51,0.08536587655544281,0.08478516340255737
